Complaint ID,Customer ID,Product/Service,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days),Month_Year,Resolution_Flag,Is_Timely
870223,74667,Customer Support Service,Technical Support,2023-09-07,2023-09-11,Resolved,4.0,2023-09,1,1
476142,13290,Mobile Banking App,Billing,2024-03-10,2024-04-01,Resolved,22.0,2024-03,1,0
546868,61216,Mobile Banking App,Technical Support,2024-03-04,2024-03-23,Resolved,19.0,2024-03,1,0
660550,14220,Customer Support Service,Service,2023-10-29,,Unresolved,,2023-10,0,0
269234,91801,Home Security System,Product Quality,2024-08-21,2024-09-05,Resolved,15.0,2024-08,1,0
574858,20950,Weight Loss Program,Service,2023-11-21,2023-12-04,Resolved,13.0,2023-11,1,0
191464,38410,Fitness Tracker,Delivery,2024-03-03,2024-03-06,Resolved,3.0,2024-03,1,1
462822,58596,Mobile Banking App,Service,2024-05-13,2024-05-14,Resolved,1.0,2024-05,1,1
740893,27250,Digital Scale,Technical Support,2024-02-14,2024-02-29,Resolved,15.0,2024-02,1,0
518830,60578,Fitness Tracker,Delivery,2023-09-05,2023-09-11,Resolved,6.0,2023-09,1,1
901174,27287,Home Security System,Service,2024-04-19,2024-05-04,Resolved,15.0,2024-04,1,0
759654,67086,Insurance Plan,Service,2024-03-21,2024-03-23,Resolved,2.0,2024-03,1,1
120296,90568,Home Security System,Product Quality,2024-06-19,2024-07-16,Resolved,27.0,2024-06,1,0
881606,46007,Weight Loss Program,Technical Support,2023-11-28,,Unresolved,,2023-11,0,0
820454,94983,Customer Support Service,Service,2024-06-27,2024-07-27,Resolved,30.0,2024-06,1,0
835159,79896,Digital Scale,Service,2024-04-20,2024-05-17,Resolved,27.0,2024-04,1,0
224321,38274,Insurance Plan,Service,2024-07-19,2024-07-25,Resolved,6.0,2024-07,1,1
215950,86095,Cloud Storage,Service,2024-06-23,2024-07-07,Resolved,14.0,2024-06,1,0
880534,88095,Insurance Plan,Service,2023-09-07,2023-09-30,Resolved,23.0,2023-09,1,0
684830,90233,Customer Support Service,Product Quality,2023-09-08,2023-09-19,Resolved,11.0,2023-09,1,0
907428,57740,Mobile Banking App,Product Quality,2024-03-16,,Unresolved,,2024-03,0,0
866887,82811,Customer Support Service,Billing,2024-04-08,2024-04-21,Resolved,13.0,2024-04,1,0
727332,76515,Fitness Tracker,Product Quality,2024-02-11,2024-02-23,Resolved,12.0,2024-02,1,0
454540,27410,Insurance Plan,Billing,2023-12-26,2024-01-19,Resolved,24.0,2023-12,1,0
945445,56172,Digital Scale,Technical Support,2023-12-05,2023-12-14,Resolved,9.0,2023-12,1,1
320333,47648,Weight Loss Program,Billing,2024-02-26,2024-03-27,Resolved,30.0,2024-02,1,0
173166,19376,Home Security System,Delivery,2024-04-29,2024-05-01,Resolved,2.0,2024-04,1,1
721026,67140,Fitness Tracker,Product Quality,2024-02-18,2024-02-29,Resolved,11.0,2024-02,1,0
770666,71141,Personal Safe,Technical Support,2023-12-01,,Unresolved,,2023-12,0,0
446213,62640,Insurance Plan,Technical Support,2024-08-20,2024-08-25,Resolved,5.0,2024-08,1,1
967264,77191,Personal Safe,Billing,2023-12-19,,Unresolved,,2023-12,0,0
425118,31087,Digital Scale,Technical Support,2023-10-20,2023-10-24,Resolved,4.0,2023-10,1,1
458575,31585,Weight Loss Program,Technical Support,2024-03-18,2024-03-30,Resolved,12.0,2024-03,1,0
551667,87045,Customer Support Service,Technical Support,2023-09-28,2023-10-05,Resolved,7.0,2023-09,1,1
114383,80719,Digital Scale,Delivery,2024-04-08,2024-04-21,Resolved,13.0,2024-04,1,0
588979,79292,Digital Scale,Technical Support,2024-08-02,2024-08-15,Resolved,13.0,2024-08,1,0
860953,55598,Customer Support Service,Delivery,2023-09-14,2023-09-24,Resolved,10.0,2023-09,1,1
219716,38266,Mobile Banking App,Service,2023-09-22,2023-10-09,Resolved,17.0,2023-09,1,0
449468,71202,Customer Support Service,Delivery,2023-10-17,2023-10-29,Resolved,12.0,2023-10,1,0
168336,83332,Insurance Plan,Billing,2024-03-07,2024-03-21,Resolved,14.0,2024-03,1,0
218300,63657,Home Security System,Billing,2023-12-12,2023-12-26,Resolved,14.0,2023-12,1,0
528218,94001,Weight Loss Program,Technical Support,2024-05-23,2024-06-20,Resolved,28.0,2024-05,1,0
331080,58785,Cloud Storage,Service,2024-06-20,2024-07-17,Resolved,27.0,2024-06,1,0
644340,75016,Personal Safe,Technical Support,2024-05-26,,Unresolved,,2024-05,0,0
536509,81051,Personal Safe,Billing,2024-06-12,,Unresolved,,2024-06,0,0
941984,62041,Insurance Plan,Technical Support,2023-10-20,2023-10-24,Resolved,4.0,2023-10,1,1
330045,73569,Drone Delivery Service,Technical Support,2024-06-24,,Unresolved,,2024-06,0,0
714952,60210,Personal Safe,Billing,2023-11-10,2023-11-13,Resolved,3.0,2023-11,1,1
935185,46214,Cloud Storage,Service,2023-09-18,,Unresolved,,2023-09,0,0
654160,58021,Mobile Banking App,Service,2024-04-21,,Unresolved,,2024-04,0,0
553922,32251,Digital Scale,Product Quality,2024-07-11,,Unresolved,,2024-07,0,0
380292,86383,Insurance Plan,Product Quality,2023-11-22,2023-12-22,Resolved,30.0,2023-11,1,0
430173,90628,Fitness Tracker,Product Quality,2023-12-05,,Unresolved,,2023-12,0,0
705211,53708,Fitness Tracker,Billing,2024-06-23,2024-07-21,Resolved,28.0,2024-06,1,0
876783,31412,Insurance Plan,Delivery,2024-04-14,2024-04-19,Resolved,5.0,2024-04,1,1
665489,70018,Insurance Plan,Technical Support,2024-03-08,,Unresolved,,2024-03,0,0
239319,57442,Home Security System,Technical Support,2023-10-12,2023-11-06,Resolved,25.0,2023-10,1,0
633605,24356,Insurance Plan,Delivery,2023-11-10,2023-11-16,Resolved,6.0,2023-11,1,1
999237,20752,Digital Scale,Technical Support,2023-11-30,2023-12-19,Resolved,19.0,2023-11,1,0
689537,71038,Fitness Tracker,Technical Support,2024-06-22,,Unresolved,,2024-06,0,0
475532,83829,Cloud Storage,Technical Support,2024-04-12,2024-05-04,Resolved,22.0,2024-04,1,0
552393,32432,Fitness Tracker,Service,2024-05-25,,Unresolved,,2024-05,0,0
352770,24756,Drone Delivery Service,Billing,2024-08-26,2024-09-22,Resolved,27.0,2024-08,1,0
952120,62035,Personal Safe,Billing,2024-05-24,2024-05-30,Resolved,6.0,2024-05,1,1
422626,43954,Drone Delivery Service,Billing,2024-08-03,2024-09-02,Resolved,30.0,2024-08,1,0
473043,86305,Personal Safe,Service,2024-01-21,2024-01-28,Resolved,7.0,2024-01,1,1
225104,34579,Cloud Storage,Technical Support,2024-05-29,2024-05-30,Resolved,1.0,2024-05,1,1
277299,58197,Fitness Tracker,Product Quality,2024-07-12,,Unresolved,,2024-07,0,0
755950,64383,Fitness Tracker,Product Quality,2023-09-19,2023-09-28,Resolved,9.0,2023-09,1,1
517509,28311,Fitness Tracker,Service,2024-04-14,2024-04-22,Resolved,8.0,2024-04,1,1
427217,84728,Weight Loss Program,Product Quality,2024-06-23,2024-07-12,Resolved,19.0,2024-06,1,0
884788,80325,Drone Delivery Service,Billing,2024-05-06,2024-05-18,Resolved,12.0,2024-05,1,0
986890,34753,Home Security System,Billing,2024-02-03,2024-02-13,Resolved,10.0,2024-02,1,1
125665,20271,Digital Scale,Service,2024-05-20,2024-06-19,Resolved,30.0,2024-05,1,0
250166,66288,Mobile Banking App,Delivery,2024-02-06,,Unresolved,,2024-02,0,0
616977,30737,Customer Support Service,Service,2024-05-15,2024-06-05,Resolved,21.0,2024-05,1,0
714723,44222,Insurance Plan,Delivery,2024-03-05,2024-04-02,Resolved,28.0,2024-03,1,0
601226,43695,Customer Support Service,Service,2023-11-20,,Unresolved,,2023-11,0,0
906429,42784,Mobile Banking App,Service,2024-08-21,,Unresolved,,2024-08,0,0
771947,64120,Fitness Tracker,Service,2024-04-17,,Unresolved,,2024-04,0,0
925953,94854,Mobile Banking App,Service,2024-06-09,2024-06-23,Resolved,14.0,2024-06,1,0
402395,14122,Customer Support Service,Technical Support,2023-11-03,2023-11-28,Resolved,25.0,2023-11,1,0
141211,11364,Customer Support Service,Service,2024-07-29,2024-08-27,Resolved,29.0,2024-07,1,0
801716,84451,Insurance Plan,Product Quality,2024-02-25,2024-03-20,Resolved,24.0,2024-02,1,0
873653,24518,Personal Safe,Delivery,2024-03-28,2024-04-07,Resolved,10.0,2024-03,1,1
909760,21396,Cloud Storage,Billing,2024-08-18,2024-08-19,Resolved,1.0,2024-08,1,1
134121,96559,Home Security System,Delivery,2024-06-08,2024-06-30,Resolved,22.0,2024-06,1,0
867185,44083,Drone Delivery Service,Product Quality,2023-12-14,2024-01-08,Resolved,25.0,2023-12,1,0
106948,37145,Personal Safe,Product Quality,2024-04-12,2024-04-23,Resolved,11.0,2024-04,1,0
103547,65438,Drone Delivery Service,Technical Support,2024-08-25,2024-09-01,Resolved,7.0,2024-08,1,1
746100,11271,Home Security System,Billing,2023-11-11,2023-11-21,Resolved,10.0,2023-11,1,1
440221,45881,Drone Delivery Service,Product Quality,2024-06-18,2024-07-14,Resolved,26.0,2024-06,1,0
353218,28674,Fitness Tracker,Delivery,2024-03-03,2024-03-10,Resolved,7.0,2024-03,1,1
462539,78721,Weight Loss Program,Product Quality,2023-09-27,2023-10-15,Resolved,18.0,2023-09,1,0
947762,42734,Weight Loss Program,Service,2024-05-05,2024-05-28,Resolved,23.0,2024-05,1,0
184533,76280,Mobile Banking App,Delivery,2023-11-15,2023-12-15,Resolved,30.0,2023-11,1,0
790793,94533,Fitness Tracker,Service,2024-01-26,,Unresolved,,2024-01,0,0
534276,79131,Home Security System,Service,2023-08-30,2023-09-10,Resolved,11.0,2023-08,1,0
151886,58714,Fitness Tracker,Product Quality,2024-05-16,,Unresolved,,2024-05,0,0
695468,37031,Home Security System,Delivery,2023-09-16,2023-10-04,Resolved,18.0,2023-09,1,0
160674,35151,Digital Scale,Service,2024-08-26,2024-09-14,Resolved,19.0,2024-08,1,0
353033,76838,Digital Scale,Product Quality,2023-11-08,2023-11-26,Resolved,18.0,2023-11,1,0
928591,59747,Insurance Plan,Product Quality,2024-07-21,2024-08-19,Resolved,29.0,2024-07,1,0
426143,94332,Cloud Storage,Billing,2024-07-23,2024-08-16,Resolved,24.0,2024-07,1,0
632542,35521,Customer Support Service,Delivery,2024-04-30,2024-05-07,Resolved,7.0,2024-04,1,1
115182,36738,Digital Scale,Product Quality,2024-05-20,,Unresolved,,2024-05,0,0
420768,24964,Weight Loss Program,Billing,2024-05-24,2024-05-28,Resolved,4.0,2024-05,1,1
663456,69588,Digital Scale,Product Quality,2024-08-21,2024-08-31,Resolved,10.0,2024-08,1,1
438282,82407,Cloud Storage,Delivery,2023-10-29,2023-11-06,Resolved,8.0,2023-10,1,1
226323,74115,Fitness Tracker,Product Quality,2023-09-10,2023-09-14,Resolved,4.0,2023-09,1,1
367443,95395,Insurance Plan,Delivery,2024-04-11,2024-04-15,Resolved,4.0,2024-04,1,1
746198,25033,Customer Support Service,Technical Support,2024-06-16,2024-07-02,Resolved,16.0,2024-06,1,0
854711,64417,Fitness Tracker,Billing,2024-06-10,2024-06-15,Resolved,5.0,2024-06,1,1
439060,79278,Personal Safe,Delivery,2024-05-25,2024-05-30,Resolved,5.0,2024-05,1,1
733662,43980,Weight Loss Program,Service,2024-08-25,2024-08-26,Resolved,1.0,2024-08,1,1
608065,34098,Fitness Tracker,Technical Support,2024-07-28,2024-08-11,Resolved,14.0,2024-07,1,0
880266,46837,Fitness Tracker,Product Quality,2023-11-10,2023-11-14,Resolved,4.0,2023-11,1,1
908123,24553,Drone Delivery Service,Billing,2023-12-26,2024-01-20,Resolved,25.0,2023-12,1,0
883721,22727,Drone Delivery Service,Technical Support,2024-03-12,2024-04-08,Resolved,27.0,2024-03,1,0
271006,44671,Weight Loss Program,Technical Support,2024-07-04,2024-07-17,Resolved,13.0,2024-07,1,0
660439,65565,Personal Safe,Technical Support,2024-04-27,,Unresolved,,2024-04,0,0
463800,40263,Fitness Tracker,Billing,2024-04-03,2024-04-28,Resolved,25.0,2024-04,1,0
784440,29476,Fitness Tracker,Service,2024-07-11,,Unresolved,,2024-07,0,0
510139,94811,Customer Support Service,Technical Support,2024-05-14,,Unresolved,,2024-05,0,0
383694,48287,Mobile Banking App,Billing,2024-02-12,2024-03-07,Resolved,24.0,2024-02,1,0
827207,87779,Home Security System,Delivery,2024-07-09,2024-07-12,Resolved,3.0,2024-07,1,1
794155,23771,Digital Scale,Delivery,2024-03-12,2024-03-22,Resolved,10.0,2024-03,1,1
797958,12791,Insurance Plan,Product Quality,2024-01-12,2024-01-22,Resolved,10.0,2024-01,1,1
755067,15476,Customer Support Service,Service,2024-02-03,2024-02-24,Resolved,21.0,2024-02,1,0
556795,69784,Home Security System,Billing,2024-08-11,2024-08-21,Resolved,10.0,2024-08,1,1
809642,36663,Insurance Plan,Billing,2024-05-30,2024-06-14,Resolved,15.0,2024-05,1,0
379985,82967,Personal Safe,Service,2024-02-26,,Unresolved,,2024-02,0,0
572311,28049,Insurance Plan,Delivery,2023-09-26,2023-10-22,Resolved,26.0,2023-09,1,0
154744,78900,Cloud Storage,Billing,2024-03-04,,Unresolved,,2024-03,0,0
394967,39054,Fitness Tracker,Billing,2023-10-13,2023-10-15,Resolved,2.0,2023-10,1,1
429152,43962,Cloud Storage,Billing,2024-03-10,2024-03-26,Resolved,16.0,2024-03,1,0
637181,76589,Weight Loss Program,Technical Support,2023-12-10,2023-12-31,Resolved,21.0,2023-12,1,0
397050,53160,Insurance Plan,Billing,2024-01-28,2024-02-17,Resolved,20.0,2024-01,1,0
564321,79747,Digital Scale,Billing,2023-11-25,2023-12-24,Resolved,29.0,2023-11,1,0
755368,96940,Fitness Tracker,Billing,2024-04-26,2024-05-01,Resolved,5.0,2024-04,1,1
556052,99837,Personal Safe,Service,2023-12-28,,Unresolved,,2023-12,0,0
380341,37136,Personal Safe,Delivery,2023-10-13,2023-10-24,Resolved,11.0,2023-10,1,0
491527,92858,Drone Delivery Service,Product Quality,2024-03-12,2024-04-09,Resolved,28.0,2024-03,1,0
470680,91571,Home Security System,Delivery,2023-10-01,2023-10-09,Resolved,8.0,2023-10,1,1
901091,33770,Fitness Tracker,Technical Support,2024-06-03,2024-06-17,Resolved,14.0,2024-06,1,0
285211,74672,Digital Scale,Service,2023-10-15,2023-10-19,Resolved,4.0,2023-10,1,1
570324,22263,Mobile Banking App,Technical Support,2024-03-20,2024-04-09,Resolved,20.0,2024-03,1,0
854472,97923,Mobile Banking App,Billing,2024-01-12,,Unresolved,,2024-01,0,0
652824,19845,Digital Scale,Product Quality,2024-05-10,2024-05-13,Resolved,3.0,2024-05,1,1
947505,44859,Weight Loss Program,Product Quality,2023-12-12,2023-12-26,Resolved,14.0,2023-12,1,0
593654,82914,Customer Support Service,Delivery,2023-11-18,,Unresolved,,2023-11,0,0
648248,31091,Digital Scale,Service,2024-03-04,2024-03-10,Resolved,6.0,2024-03,1,1
542956,30096,Home Security System,Service,2024-06-09,2024-06-26,Resolved,17.0,2024-06,1,0
372128,19379,Home Security System,Service,2023-12-31,,Unresolved,,2023-12,0,0
424984,80225,Mobile Banking App,Delivery,2024-02-12,2024-03-09,Resolved,26.0,2024-02,1,0
117952,79145,Home Security System,Billing,2023-09-27,2023-10-14,Resolved,17.0,2023-09,1,0
787925,29198,Personal Safe,Delivery,2023-10-21,2023-11-07,Resolved,17.0,2023-10,1,0
217326,49654,Home Security System,Delivery,2024-04-11,,Unresolved,,2024-04,0,0
193043,55551,Personal Safe,Technical Support,2024-08-13,2024-09-04,Resolved,22.0,2024-08,1,0
339958,42082,Mobile Banking App,Delivery,2023-11-19,2023-12-18,Resolved,29.0,2023-11,1,0
764141,67773,Insurance Plan,Delivery,2023-11-18,2023-12-05,Resolved,17.0,2023-11,1,0
455748,62911,Weight Loss Program,Service,2023-10-22,2023-11-12,Resolved,21.0,2023-10,1,0
820870,69079,Digital Scale,Product Quality,2023-12-30,,Unresolved,,2023-12,0,0
509751,16742,Mobile Banking App,Product Quality,2023-12-10,2024-01-04,Resolved,25.0,2023-12,1,0
921032,76830,Personal Safe,Product Quality,2024-03-07,,Unresolved,,2024-03,0,0
742788,11007,Fitness Tracker,Billing,2023-12-28,2024-01-06,Resolved,9.0,2023-12,1,1
528390,41382,Weight Loss Program,Technical Support,2024-05-02,,Unresolved,,2024-05,0,0
682631,50185,Home Security System,Product Quality,2024-06-19,,Unresolved,,2024-06,0,0
829417,30837,Cloud Storage,Technical Support,2024-01-01,2024-01-17,Resolved,16.0,2024-01,1,0
506743,71910,Mobile Banking App,Delivery,2023-11-22,,Unresolved,,2023-11,0,0
922907,26890,Fitness Tracker,Technical Support,2023-12-30,,Unresolved,,2023-12,0,0
304984,81181,Drone Delivery Service,Product Quality,2024-04-21,,Unresolved,,2024-04,0,0
242112,23102,Customer Support Service,Billing,2023-11-10,2023-11-20,Resolved,10.0,2023-11,1,1
965198,12300,Mobile Banking App,Delivery,2024-03-01,2024-03-05,Resolved,4.0,2024-03,1,1
670918,49204,Digital Scale,Delivery,2024-03-23,2024-04-17,Resolved,25.0,2024-03,1,0
744782,26134,Customer Support Service,Technical Support,2024-05-23,2024-06-11,Resolved,19.0,2024-05,1,0
539663,76779,Weight Loss Program,Service,2023-12-23,2024-01-03,Resolved,11.0,2023-12,1,0
888552,69473,Cloud Storage,Service,2024-08-20,2024-09-16,Resolved,27.0,2024-08,1,0
835731,98200,Insurance Plan,Billing,2024-05-08,2024-05-10,Resolved,2.0,2024-05,1,1
684549,11597,Personal Safe,Technical Support,2023-09-13,2023-09-20,Resolved,7.0,2023-09,1,1
